Optode,X,Y,Z
D2,-70.78495,6.215298,22.041115
S1,-69.384613,6.943387,23.711685
D1,-68.263184,5.713643,26.602329
S3,-68.810234,8.567585,19.620689
D3,-67.219315,9.126205,22.341158
S2,-66.713112,8.602509,24.952473
D5,-65.658585,9.446818,20.782887
S4,-64.385765,10.091981,23.402191
D4,-63.934837,8.567052,26.343002
S6,-62.558949,10.447989,20.234556
D6,-61.678341,10.255669,22.339218
S5,-61.19878,9.248755,25.720858
D8,-59.618542,9.882443,18.929998
S8,-58.767395,9.812418,21.369331
D7,-58.348083,9.422653,23.83448
S7,-57.719437,8.308254,25.86998
S10,-56.424473,8.090822,16.390356
D10,-55.746746,8.431022,19.012388
S9,-55.712151,8.509833,22.094112
D9,-55.068211,6.338434,24.137154
D12,-70.106018,-3.61214,21.28274
S11,-69.200455,-3.67631,24.267344
D11,-68.939819,-2.342714,26.780331
S13,-67.502838,-5.980555,19.699362
D13,-66.402298,-5.897431,23.177174
S12,-66.224297,-4.756089,26.462057
D15,-64.734726,-6.695912,20.258484
S14,-63.360851,-6.795416,23.65551
D14,-62.841301,-6.001587,26.704641
S16,-61.981525,-7.670252,19.40889
D16,-60.677353,-7.317814,22.06345
S15,-59.369164,-5.706821,25.546246
D18,-59.849411,-7.297562,17.323641
S18,-59.284721,-6.834044,19.545401
D17,-58.137836,-6.361975,22.225338
S17,-57.417152,-4.947517,24.829916
S20,-57.248436,-5.580486,16.12307
D20,-56.628727,-5.195893,18.669155
S19,-56.398819,-4.2333,21.989241
D19,-56.113544,-2.270725,24.031645
