Ch, Source, Detector
1, 1, 1
2, 1, 2
3, 2, 1
4, 1, 3
5, 3, 2
6, 2, 3
7, 3, 3
8, 2, 4
9, 4, 3
10 3, 5
11, 4, 4
12, 4, 5
13, 5, 4
14, 4, 6
15, 6, 5
16, 5, 6
17, 6, 6
18, 5, 7
19, 8, 6
20, 6, 8
21, 7, 7
22, 8, 7
23, 8, 8
24, 7, 9
25, 9, 7
26, 8, 10
27, 10, 8
28, 9, 9
29, 9, 10
30, 10, 10
31, 11, 11
32, 11, 12
33, 12, 11
34, 11, 13
35, 13, 12
36, 12, 13
37, 13, 13
38, 12, 14
39, 14, 13
40, 13, 15
41, 14, 14
42, 14, 15
43, 15, 14
44, 14, 16
45, 16, 15
46, 15, 16
47, 16, 16
48, 15, 17
49, 18, 16
50, 16, 18
51, 17, 17
52, 18, 17
53, 18, 18
54, 17, 19
55, 19, 17
56, 18, 20
57, 20, 18
58, 19, 19
59, 19, 20
60, 20, 20
