Optode,X,Y,Z
D2,-65.90596,3.493278,20.738342
S1,-64.814835,3.722188,23.417246
D1,-64.389763,2.327653,25.356667
S3,-63.75296,4.724688,19.89901
D3,-62.719086,4.656593,22.128963
S2,-62.364834,3.677948,24.958479
D5,-60.798851,5.229239,21.038004
S4,-60.219299,4.753401,23.699776
D4,-60.102711,3.172567,26.364653
S6,-57.616096,5.604298,20.70326
D6,-57.269344,5.264794,22.925056
S5,-57.216412,3.418099,26.48526
D8,-54.640961,4.948977,19.625029
S8,-54.449734,4.499854,22.984013
D7,-54.482922,3.721321,24.747808
S7,-54.298958,1.902083,26.686438
S10,-51.821987,2.60331,17.314173
D10,-51.690434,2.477848,21.156651
S9,-52.291065,2.01586,23.961727
D9,-52.276466,-0.258215,25.825254
D12,-65.304016,-7.910075,20.638107
S11,-64.834259,-7.598606,23.255663
D11,-64.401749,-6.379405,26.047338
S13,-63.286751,-8.448315,19.661844
D13,-62.147717,-8.992783,22.835325
S12,-62.142151,-8.256648,25.343632
D15,-60.846512,-9.559464,20.352612
S14,-59.320812,-9.450807,23.190676
D14,-58.789948,-8.676875,26.038691
S16,-57.742802,-10.000593,19.750591
D16,-56.636467,-9.627643,22.431128
S15,-55.510246,-8.772883,25.118114
D18,-55.527119,-9.775659,17.313341
S18,-54.899704,-9.447746,19.849619
D17,-53.960815,-9.098343,22.450277
S17,-53.331429,-7.292832,25.463217
S20,-53.290596,-8.250567,16.688587
D20,-52.111988,-7.662967,19.475359
S19,-51.729458,-7.068182,22.800295
D19,-51.397888,-5.463538,25.228003
